Transmission time: 0.080000 ms, File size: 16000 bytes
Transmission time: 0.065000 ms, File size: 16000 bytes
Transmission time: 0.068000 ms, File size: 16000 bytes
Transmission time: 0.063000 ms, File size: 16000 bytes
Transmission time: 0.066000 ms, File size: 16000 bytes
Transmission time: 1.784000 ms, File size: 16000 bytes
Transmission time: 0.074000 ms, File size: 16000 bytes
Transmission time: 0.063000 ms, File size: 16000 bytes
Transmission time: 0.065000 ms, File size: 16000 bytes
Transmission time: 0.062000 ms, File size: 16000 bytes
Transmission time: 0.064000 ms, File size: 16000 bytes
Transmission time: 0.061000 ms, File size: 16000 bytes
Transmission time: 0.064000 ms, File size: 16000 bytes
Transmission time: 0.061000 ms, File size: 16000 bytes
Transmission time: 0.065000 ms, File size: 16000 bytes
Transmission time: 0.062000 ms, File size: 16000 bytes
