Transmission time: 0.108000 ms, File size: 16000 bytes
Transmission time: 0.096000 ms, File size: 16000 bytes
Transmission time: 0.096000 ms, File size: 16000 bytes
Transmission time: 0.096000 ms, File size: 16000 bytes
Transmission time: 0.131000 ms, File size: 16000 bytes
Transmission time: 0.728000 ms, File size: 16000 bytes
Transmission time: 0.106000 ms, File size: 16000 bytes
Transmission time: 0.091000 ms, File size: 16000 bytes
Transmission time: 0.089000 ms, File size: 16000 bytes
Transmission time: 0.089000 ms, File size: 16000 bytes
Transmission time: 0.103000 ms, File size: 16000 bytes
Transmission time: 0.089000 ms, File size: 16000 bytes
Transmission time: 0.095000 ms, File size: 16000 bytes
Transmission time: 0.089000 ms, File size: 16000 bytes
Transmission time: 0.174000 ms, File size: 16000 bytes
Transmission time: 0.191000 ms, File size: 16000 bytes
